Emp ID,Name Prefix,First Name,Middle Initial,Last Name,Gender,E Mail,Father's Name,Mother's Name,Mother's Maiden Name,Date of Birth,Time of Birth,Age in Yrs.,Weight in Kgs.,Date of Joining,Quarter of Joining,Half of Joining,Year of Joining,Month of Joining,Month Name of Joining,Short Month,Day of Joining,DOW of Joining,Short DOW,Age in Company (Years),Salary,Last % Hike,SSN,Phone No. ,Place Name,County,City,State,Zip,Region,User Name,Password
526540,Ms.,Angelique,K,Goodwin,F,angelique.goodwin@gmail.com,Rick Goodwin,Dorian Goodwin,Maxey,5/15/1964,3:46:46 AM,53.24,56,3/24/2001,Q1,H1,2001,3,March,Mar,24,Saturday,Sat,16.36,193710,27%,471-57-0359,212-884-7146,Rochester,Monroe,Rochester,NY,14624,Northeast,akgoodwin,z{d>ez%{.@
859327,Ms.,Jeni,S,Shaffer,F,jeni.shaffer@gmail.com,Ryan Shaffer,Love Shaffer,Gunderson,1/13/1962,11:11:31 AM,55.58,54,12/10/2015,Q4,H2,2015,12,December,Dec,10,Thursday,Thu,1.63,144133,30%,624-85-4146,205-665-7020,Luverne,Crenshaw,Luverne,AL,36049,South,jsshaffer,7U56!*!O
887387,Ms.,Donald,T,Farris,F,donald.farris@bellsouth.net,Mauro Farris,Edyth Farris,Greer,4/11/1958,11:58:51 PM,59.34,40,11/12/1979,Q4,H2,1979,11,November,Nov,12,Monday,Mon,37.73,132617,18%,097-02-3315,205-959-7879,Hodges,Franklin,Hodges,AL,35571,South,dtfarris,rX.F{j&]&m&&X
779497,Hon.,Steven,D,Rendon,M,steven.rendon@gmail.com,Elden Rendon,Angela Rendon,Ortiz,4/4/1982,1:06:30 AM,35.34,81,9/18/2008,Q3,H2,2008,9,September,Sep,18,Thursday,Thu,8.86,77898,15%,134-98-6566,217-858-0054,Savoy,Champaign,Savoy,IL,61874,Midwest,sdrendon,a+2;sx}<G]y
896517,Drs.,Jenell,L,Almanza,F,jenell.almanza@yahoo.com,Clifford Almanza,Vergie Almanza,Darby,7/1/1958,4:28:54 AM,59.12,47,7/14/1993,Q3,H2,1993,7,July,Jul,14,Wednesday,Wed,24.05,139856,6%,599-92-7345,314-893-2590,Stet,Carroll,Stet,MO,64680,Midwest,jlalmanza,Ou7RX{yT
220965,Mrs.,Almeta,Y,Brookins,F,almeta.brookins@gmail.com,Richard Brookins,Angelika Brookins,Pape,5/8/1985,3:32:57 AM,32.24,41,4/25/2017,Q2,H1,2017,4,April,Apr,25,Tuesday,Tue,0.26,90576,23%,109-98-3095,229-238-0915,Lyons,Toombs,Lyons,GA,30436,South,aybrookins,HQHKE_+9hv
721091,Prof.,Bobbie,E,Branson,M,bobbie.branson@hotmail.com,Joan Branson,Nu Branson,Frazer,2/10/1996,11:47:37 PM,21.48,71,4/27/2017,Q2,H1,2017,4,April,Apr,27,Thursday,Thu,0.25,178641,10%,047-15-8435,216-849-6986,Kalida,Putnam,Kalida,OH,45853,Midwest,bebranson,tA5zrwtY9\!Y
633636,Prof.,Bertram,R,Carlisle,M,bertram.carlisle@aol.com,Ivory Carlisle,Bao Carlisle,Cintron,12/31/1982,8:24:37 PM,34.6,61,11/2/2012,Q4,H2,2012,11,November,Nov,2,Friday,Fri,4.74,163773,10%,257-99-3865,215-614-1953,Hamilton,Jefferson,Hamilton,PA,15744,Northeast,brcarlisle,F4G46Phi$qF
823898,Prof.,Carlton,E,Leclair,M,carlton.leclair@cox.net,Elroy Leclair,Georgann Leclair,Merchant,3/17/1986,3:47:00 PM,31.39,56,1/7/2009,Q1,H1,2009,1,January,Jan,7,Wednesday,Wed,8.56,50397,29%,044-15-4027,319-943-1308,Panama,Shelby,Panama,IA,51562,Midwest,celeclair,Kce]/Rnti6
413865,Mr.,Todd,R,Slater,M,todd.slater@earthlink.net,Donnie Slater,Shay Slater,Conaway,6/9/1995,10:34:52 AM,22.15,58,3/7/2017,Q1,H1,2017,3,March,Mar,7,Tuesday,Tue,0.39,54458,12%,553-99-2106,218-671-2547,Young America,Carver,Young America,MN,55558,Midwest,trslater,EZ5}EHI4
439483,Mr.,Adalberto,K,Hazel,M,adalberto.hazel@yahoo.co.in,Frank Hazel,Elizabet Hazel,Bolt,12/8/1959,10:28:20 PM,57.68,66,4/27/1995,Q2,H1,1995,4,April,Apr,27,Thursday,Thu,22.27,120471,10%,264-99-9423,262-893-5324,Bear Creek,Outagamie,Bear Creek,WI,54922,Midwest,akhazel,j8v|]L6g2j/T$4+
809408,Mr.,Seymour,B,Nelson,M,seymour.nelson@hotmail.com,Isaiah Nelson,Novella Nelson,Chilton,1/21/1996,1:09:30 AM,21.53,63,7/2/2017,Q3,H2,2017,7,July,Jul,2,Sunday,Sun,0.07,77853,29%,119-98-1796,215-821-4109,Harleysville,Montgomery,Harleysville,PA,19441,Northeast,sbnelson,cEvcPqX[
748190,Mr.,Vicente,D,Dawkins,M,vicente.dawkins@gmail.com,Barrett Dawkins,Alva Dawkins,Mcvay,6/17/1994,6:35:10 AM,23.13,62,7/2/2016,Q3,H2,2016,7,July,Jul,2,Saturday,Sat,1.07,169446,11%,116-98-6696,217-567-3339,Reddick,Kankakee,Reddick,IL,60961,Midwest,vddawkins,t\XA;6?;[c>!47c
397283,Mr.,Rex,Q,Ng,M,rex.ng@yahoo.com,Rene Ng,Beata Ng,Gayle,8/22/1982,12:27:12 AM,34.96,68,1/17/2007,Q1,H1,2007,1,January,Jan,17,Wednesday,Wed,10.53,153446,7%,192-86-7823,215-352-5080,Kreamer,Snyder,Kreamer,PA,17833,Northeast,rqng,rcT|A/ba:8aZ$q
553684,Drs.,Arlena,I,Clough,F,arlena.clough@yahoo.com,Willy Clough,Brinda Clough,Bates,10/15/1957,4:37:26 PM,59.82,48,12/26/2015,Q4,H2,2015,12,December,Dec,26,Saturday,Sat,1.59,95109,15%,032-92-6090,316-737-9183,Sublette,Haskell,Sublette,KS,67877,Midwest,aiclough,5vI5~Zd:
495667,Mr.,Cory,H,Clarke,M,cory.clarke@shell.com,Lynwood Clarke,Fallon Clarke,Velez,6/2/1980,11:41:07 PM,37.18,89,4/27/2012,Q2,H1,2012,4,April,Apr,27,Friday,Fri,5.25,179134,16%,731-28-8642,480-381-5936,Mesa,Maricopa,Mesa,AZ,85207,West,chclarke,k2QH6T#d!
936158,Mrs.,Sofia,Y,Poole,F,sofia.poole@earthlink.net,Leigh Poole,Na Poole,Luce,12/3/1964,2:56:54 PM,52.68,43,7/18/1993,Q3,H2,1993,7,July,Jul,18,Sunday,Sun,24.04,150019,24%,126-98-9929,215-824-1223,Brockway,Jefferson,Brockway,PA,15824,Northeast,sypoole,GLTTXR|JL0~E
537591,Dr.,Samuel,G,Wendt,M,samuel.wendt@bellsouth.net,Danial Wendt,Tandra Wendt,Derosa,11/25/1976,6:09:32 AM,40.7,72,2/24/2016,Q1,H1,2016,2,February,Feb,24,Wednesday,Wed,1.42,198487,26%,369-39-1426,229-497-4180,Atlanta,Fulton,Atlanta,GA,30371,South,sgwendt,pOq-woq:}4.ubd0
909018,Mr.,Virgil,R,Trowbridge,M,virgil.trowbridge@aol.com,Francisco Trowbridge,Chasidy Trowbridge,Soto,4/6/1986,5:02:37 AM,31.33,73,11/21/2016,Q4,H2,2016,11,November,Nov,21,Monday,Mon,0.68,199714,11%,005-13-9026,202-652-7351,Washington,District of Columbia,Washington,DC,20242,South,vrtrowbridge,3PE>x:gOp<AY5jN
878666,Ms.,Elda,Y,Champagne,F,elda.champagne@gmail.com,Roderick Champagne,Bok Champagne,Garrison,5/21/1983,7:40:21 PM,34.21,50,11/8/2016,Q4,H2,2016,11,November,Nov,8,Tuesday,Tue,0.72,146140,4%,540-83-9723,218-621-9347,Lake Itasca,Lake Itasca,Lake Itasca,MN,56460,Midwest,eychampagne,IawX0iQY&D
995710,Mr.,Robert,G,Guinn,M,robert.guinn@walmart.com,Samual Guinn,Jona Guinn,Cobb,6/14/1972,12:00:21 AM,45.15,67,1/8/1997,Q1,H1,1997,1,January,Jan,8,Wednesday,Wed,20.56,86539,12%,403-73-1584,219-797-9997,Montpelier,Blackford,Montpelier,IN,47359,Midwest,rgguinn,x@xCTeXJ74*}R8
511059,Prof.,Humberto,W,Sauer,M,humberto.sauer@yahoo.com,Donte Sauer,Lucy Sauer,Truitt,4/11/1989,3:31:39 PM,28.32,66,11/12/2012,Q4,H2,2012,11,November,Nov,12,Monday,Mon,4.71,116308,28%,210-84-3620,231-445-8008,Jeddo,St. Clair,Jeddo,MI,48032,Midwest,hwsauer,q&_|-%P-S/
754455,Mrs.,Anastasia,N,Childers,F,anastasia.childers@hotmail.com,Adalberto Childers,Beryl Childers,Mcneely,12/20/1988,9:51:43 PM,28.62,42,2/26/2011,Q1,H1,2011,2,February,Feb,26,Saturday,Sat,6.42,184099,24%,753-07-4603,262-835-1119,Dallas,Barron,Dallas,WI,54733,Midwest,anchilders,5G;rxDn:
489275,Ms.,Collene,O,Kidd,F,collene.kidd@shell.com,Rene Kidd,Lili Kidd,Knight,2/25/1965,2:51:56 PM,52.45,50,8/14/1993,Q3,H2,1993,8,August,Aug,14,Saturday,Sat,23.97,59428,7%,704-18-2387,209-293-8759,Reedley,Fresno,Reedley,CA,93654,West,cokidd,goocZI#~7N!7suU
500905,Hon.,Harris,Z,Beavers,M,harris.beavers@shell.com,Henry Beavers,Birgit Beavers,Mcinnis,9/14/1970,1:15:51 PM,46.9,87,1/29/1999,Q1,H1,1999,1,January,Jan,29,Friday,Fri,18.51,147337,14%,008-94-7794,239-294-7204,Brandon,Hillsborough,Brandon,FL,33511,South,hzbeavers,gv8q[B?p
984409,Ms.,Kathe,B,John,F,kathe.john@gmail.com,Francis John,Sharmaine John,Labbe,6/15/1992,3:44:33 AM,25.13,45,12/28/2013,Q4,H2,2013,12,December,Dec,28,Saturday,Sat,3.58,91921,28%,444-27-9644,216-961-7231,Hallsville,Ross,Hallsville,OH,45633,Midwest,kbjohn,A\Pv~BOD8
812053,Ms.,Ashly,E,Stanton,F,ashly.stanton@gmail.com,Barney Stanton,Vanna Stanton,Sumner,12/13/1992,8:47:46 AM,24.64,52,2/10/2014,Q1,H1,2014,2,February,Feb,10,Monday,Mon,3.46,143236,17%,385-37-9974,217-304-4274,Belvidere,Boone,Belvidere,IL,61008,Midwest,aestanton,3<u55Xj^@fy7#OS
550206,Mr.,Geraldo,E,Easley,M,geraldo.easley@shaw.ca,Johnson Easley,Alessandra Easley,Larson,3/28/1974,3:01:29 PM,43.36,82,5/6/2002,Q2,H1,2002,5,May,May,6,Monday,Mon,15.24,84087,1%,556-99-1014,210-374-1084,Dallas,Dallas,Dallas,TX,75363,South,geeasley,3q\|HQi9{R>IRL
728053,Mr.,Leigh,R,Fite,M,leigh.fite@gmail.com,Lyle Fite,Arie Fite,Arteaga,7/16/1967,2:51:34 PM,50.07,81,6/3/2004,Q2,H1,2004,6,June,Jun,3,Thursday,Thu,13.16,87149,27%,548-99-7981,217-348-2881,Berwick,Warren,Berwick,IL,61417,Midwest,lrfite,3r|R05du]98pR8I
184257,Ms.,Devon,I,Knox,F,devon.knox@gmail.com,Wilbert Knox,Hildegard Knox,Lacey,3/24/1979,3:49:34 AM,38.37,50,9/3/2005,Q3,H2,2005,9,September,Sep,3,Saturday,Sat,11.91,111117,14%,344-11-4272,236-433-5011,Vienna,Fairfax,Vienna,VA,22184,South,diknox,LfKn#gT3h>
235295,Ms.,Yevette,D,Mullis,F,yevette.mullis@gmail.com,Graham Mullis,Regena Mullis,Ceja,4/8/1972,7:42:24 AM,45.33,54,10/14/1995,Q4,H2,1995,10,October,Oct,14,Saturday,Sat,21.8,129752,22%,031-92-8075,216-407-3106,Lakewood,Cuyahoga,Lakewood,OH,44107,Midwest,ydmullis,quS?S>|}
767674,Mrs.,Irena,Z,Dang,F,irena.dang@gmail.com,Kim Dang,Joseph Dang,Shockley,1/22/1972,10:13:42 AM,45.55,49,2/24/2009,Q1,H1,2009,2,February,Feb,24,Tuesday,Tue,8.43,192236,10%,636-31-2014,236-666-5736,Crockett,Wythe,Crockett,VA,24323,South,izdang,SKR2COdtmJA
391837,Mr.,Cory,L,Hayden,M,cory.hayden@gmail.com,Louis Hayden,Kathi Hayden,Billups,7/20/1966,2:20:34 AM,51.06,66,3/31/1992,Q1,H1,1992,3,March,Mar,31,Tuesday,Tue,25.34,79619,24%,109-98-9846,262-617-9565,Genesee Depot,Waukesha,Genesee Depot,WI,53127,Midwest,clhayden,M9Nqt*&>*c5
466560,Hon.,Dolores,A,Begley,F,dolores.begley@hotmail.com,Wilmer Begley,Jaqueline Begley,Goldman,12/16/1981,12:33:46 PM,35.64,58,3/21/2016,Q1,H1,2016,3,March,Mar,21,Monday,Mon,1.35,182967,13%,019-94-6803,209-877-7013,Shasta Lake,Shasta,Shasta Lake,CA,96019,West,dabegley,8e;FDv*HnOG
900756,Mr.,Benjamin,O,Doss,M,benjamin.doss@gmail.com,Chong Doss,Luetta Doss,Nagle,6/1/1984,3:21:27 AM,33.18,68,3/31/2010,Q1,H1,2010,3,March,Mar,31,Wednesday,Wed,7.33,126429,23%,607-87-2621,229-413-6404,Lookout Mountain,Walker,Lookout Mountain,GA,30750,South,bodoss,3k}8*JZ!
678628,Hon.,Theron,I,Farmer,M,theron.farmer@gmail.com,Josh Farmer,Barb Farmer,Yates,5/16/1969,11:18:04 PM,48.23,80,7/8/2015,Q3,H2,2015,7,July,Jul,8,Wednesday,Wed,2.06,85523,17%,430-99-8830,217-297-4629,Sesser,Franklin,Sesser,IL,62884,Midwest,tifarmer,0qC2c1MJ2H&@
492527,Mr.,Hilton,N,Mcgehee,M,hilton.mcgehee@microsoft.com,Elden Mcgehee,Lorena Mcgehee,Hurtado,7/26/1986,12:35:58 AM,31.03,65,3/18/2009,Q1,H1,2009,3,March,Mar,18,Wednesday,Wed,8.37,149794,18%,042-15-4369,231-885-2299,Sterling Heights,Macomb,Sterling Heights,MI,48312,Midwest,hnmcgehee,8thdsXfBeBv6N
886060,Ms.,Sixta,J,Beaudoin,F,sixta.beaudoin@gmail.com,Tyrell Beaudoin,Diedra Beaudoin,Guillory,3/4/1975,5:34:44 PM,42.43,45,2/29/2004,Q1,H1,2004,2,February,Feb,29,Sunday,Sun,13.42,122324,1%,399-31-6070,236-832-1401,Hood,Madison,Hood,VA,22723,South,sjbeaudoin,Hu5[dWW~hFPy34
366431,Ms.,Sade,U,Shay,F,sade.shay@gmail.com,Roosevelt Shay,Arlena Shay,Browne,12/6/1994,12:32:47 AM,22.66,42,1/20/2016,Q1,H1,2016,1,January,Jan,20,Wednesday,Wed,1.52,58708,4%,693-16-3108,405-620-5457,Oktaha,Muskogee,Oktaha,OK,74450,South,sushay,y>;Y[$It
331297,Mrs.,Shemika,E,Beckman,F,shemika.beckman@hotmail.com,Travis Beckman,Cameron Beckman,Trent,10/18/1967,12:35:30 AM,49.81,46,2/7/2003,Q1,H1,2003,2,February,Feb,7,Friday,Fri,14.48,117633,28%,625-85-6937,314-817-2178,Briar,Ripley,Briar,MO,63931,Midwest,sebeckman,LS/qdpEb1K
496541,Mr.,Winfred,X,Gonzales,M,winfred.gonzales@aol.com,Emil Gonzales,Carlena Gonzales,Maldonado,3/10/1964,2:53:30 PM,53.42,76,1/18/2016,Q1,H1,2016,1,January,Jan,18,Monday,Mon,1.53,126630,2%,466-99-0813,215-259-8618,Orefield,Lehigh,Orefield,PA,18069,Northeast,wxgonzales,Q&>Mi&B%kml34tm
654617,Mr.,Rogelio,Z,Woodall,M,rogelio.woodall@gmail.com,Cleveland Woodall,Kali Woodall,Ontiveros,12/19/1972,12:42:22 PM,44.64,87,12/22/1996,Q4,H2,1996,12,December,Dec,22,Sunday,Sun,20.61,172325,5%,218-89-5439,316-362-8838,Wells,Wells,Wells,KS,67488,Midwest,rzwoodall,d/D9:/YN
163409,Mr.,Damion,C,Rafferty,M,damion.rafferty@yahoo.com,Jarod Rafferty,Mi Rafferty,Wenger,10/27/1974,5:17:28 PM,42.78,60,3/20/2015,Q1,H1,2015,3,March,Mar,20,Friday,Fri,2.36,167184,10%,235-57-9815,217-846-4054,Bartlett,Cook,Bartlett,IL,60103,Midwest,dcrafferty,54XMnP*\F9&
299088,Mr.,Dannie,I,Catron,M,dannie.catron@earthlink.net,Dana Catron,Tonie Catron,Daily,4/20/1979,10:54:29 PM,38.3,86,10/13/2016,Q4,H2,2016,10,October,Oct,13,Thursday,Thu,0.79,176777,1%,073-02-8837,215-403-5296,Eldersville,Washington,Eldersville,PA,15036,Northeast,dicatron,YI[#Xj}?oj
961442,Hon.,Stephan,M,Titus,M,stephan.titus@hotmail.com,Garrett Titus,Pamelia Titus,Delgadillo,3/7/1968,3:29:11 PM,49.42,61,10/17/2009,Q4,H2,2009,10,October,Oct,17,Saturday,Sat,7.78,115488,29%,235-57-1721,219-474-8565,Reelsville,Putnam,Reelsville,IN,46171,Midwest,smtitus,ME_YQuf};VlbIz\
155097,Mr.,Dorian,J,Sage,M,dorian.sage@shaw.ca,Stevie Sage,Lawanna Sage,Peltier,7/27/1970,7:38:06 PM,47.04,59,7/14/1992,Q3,H2,1992,7,July,Jul,14,Tuesday,Tue,25.05,66883,1%,553-99-7803,270-256-2491,Perry Park,Owen,Perry Park,KY,40363,South,djsage,DRtK9Gnq^X0cm
976422,Mr.,Jake,W,Espinal,M,jake.espinal@shaw.ca,Edmundo Espinal,Charlott Espinal,Duran,1/19/1959,5:29:05 PM,58.56,71,9/25/2003,Q3,H2,2003,9,September,Sep,25,Thursday,Thu,13.85,140108,19%,594-99-8803,209-739-8484,Ventura,Ventura,Ventura,CA,93003,West,jwespinal,oKz3l$S2Q|sY41
138911,Mr.,Claudio,L,Heck,M,claudio.heck@aol.com,Fausto Heck,Meta Heck,Fonseca,9/28/1967,7:47:20 AM,49.87,74,5/14/2005,Q2,H1,2005,5,May,May,14,Saturday,Sat,12.21,48198,22%,366-39-9069,215-359-3397,Hershey,Dauphin,Hershey,PA,17033,Northeast,clheck,mH_b:JA52
160938,Prof.,Marcel,X,Trotter,M,marcel.trotter@aol.com,Stefan Trotter,Claude Trotter,Bower,2/1/1985,9:09:22 AM,32.51,78,4/25/2006,Q2,H1,2006,4,April,Apr,25,Tuesday,Tue,11.27,50635,14%,763-12-7919,605-487-4676,Aberdeen,Brown,Aberdeen,SD,57401,Midwest,mxtrotter,jI?44\xh
